HUMAN00001	ENSG00000186092
HUMAN04603	ENSG00000110048
HUMAN04604	ENSG00000166889
HUMAN04605	ENSG00000172289
HUMAN04607	ENSG00000166900
HUMAN04608	ENSG00000166902
HUMAN04609	ENSG00000134812
HUMAN04611	ENSG00000134827
HUMAN04612	ENSG00000149507
HUMAN04613	ENSG00000149516
HUMAN04615	ENSG00000149534
HUMAN04616	ENSG00000110077
HUMAN04619	ENSG00000214787
HUMAN04622	ENSG00000110079
HUMAN04625	ENSG00000166926
HUMAN04627	ENSG00000166927
HUMAN04628	ENSG00000166928
HUMAN04630	ENSG00000166930
HUMAN04631	ENSG00000156738
HUMAN04633	ENSG00000071203
HUMAN04634	ENSG00000204979
HUMAN04635	ENSG00000166959
HUMAN04637	ENSG00000214782
HUMAN04639	ENSG00000166961
HUMAN04640	ENSG00000172689
HUMAN04641	ENSG00000110104
HUMAN04642	ENSG00000183134
HUMAN04643	ENSG00000149506
HUMAN04644	ENSG00000110107
HUMAN04646	ENSG00000110108
HUMAN04647	ENSG00000006118
HUMAN04649	ENSG00000110446
HUMAN04650	ENSG00000013725
HUMAN04652	ENSG00000110448
HUMAN04653	ENSG00000167987
HUMAN04654	ENSG00000229859
HUMAN04656	ENSG00000229183
HUMAN04658	ENSG00000256713
HUMAN04660	ENSG00000167992
HUMAN04662	ENSG00000167986
HUMAN04663	ENSG00000149476
HUMAN04665	ENSG00000162144
HUMAN04666	ENSG00000149483
HUMAN04667	ENSG00000187049
HUMAN04668	ENSG00000149532
HUMAN04671	ENSG00000256591
HUMAN04673	ENSG00000167985
HUMAN04675	ENSG00000162148
HUMAN04677	ENSG00000204950
HUMAN04678	ENSG00000011347
HUMAN04679	ENSG00000134780
HUMAN04680	ENSG00000124920
HUMAN04681	ENSG00000134825
HUMAN04683	ENSG00000168496
HUMAN04687	ENSG00000134824
HUMAN04688	ENSG00000149485
HUMAN04690	ENSG00000221968
HUMAN04691	ENSG00000167994
HUMAN04695	ENSG00000167995
HUMAN04700	ENSG00000167996
HUMAN04702	ENSG00000149503
HUMAN04703	ENSG00000168515
HUMAN04704	ENSG00000124939
HUMAN04705	ENSG00000124935
HUMAN04706	ENSG00000110484
HUMAN04708	ENSG00000197745
HUMAN04709	ENSG00000162174
HUMAN04711	ENSG00000149021
HUMAN04714	ENSG00000124942
HUMAN04715	ENSG00000254772
HUMAN04716	ENSG00000149016
HUMAN04717	ENSG00000149480
HUMAN04719	ENSG00000149499
HUMAN04720	ENSG00000149489
HUMAN04721	ENSG00000149541
HUMAN04724	ENSG00000089597
HUMAN04725	ENSG00000185085
HUMAN04726	ENSG00000255432
HUMAN04727	ENSG00000278615
HUMAN04729	ENSG00000162194
HUMAN04733	ENSG00000214756
HUMAN04734	ENSG00000204922
HUMAN04735	ENSG00000162191
HUMAN04737	ENSG00000177363
HUMAN04738	ENSG00000168000
HUMAN04740	ENSG00000162188
HUMAN04741	ENSG00000214753
HUMAN04742	ENSG00000162222
HUMAN04743	ENSG00000185670
HUMAN04744	ENSG00000168002
HUMAN04746	ENSG00000162227
HUMAN04748	ENSG00000168569
HUMAN04749	ENSG00000185475
HUMAN04751	ENSG00000162231
HUMAN04752	ENSG00000162236
HUMAN04754	ENSG00000283268
HUMAN04755	ENSG00000133316
HUMAN04757	ENSG00000168003
HUMAN04759	ENSG00000168539
HUMAN04760	ENSG00000197901
HUMAN04761	ENSG00000149452
HUMAN04762	ENSG00000197658
HUMAN04764	ENSG00000184999
HUMAN04765	ENSG00000196600
HUMAN04768	ENSG00000149742
HUMAN04769	ENSG00000168004
HUMAN04770	ENSG00000133317
HUMAN04772	ENSG00000133321
HUMAN04773	ENSG00000133328
HUMAN04774	ENSG00000176485
HUMAN04775	ENSG00000184743
HUMAN04777	ENSG00000133318
HUMAN04781	ENSG00000188070
HUMAN04782	ENSG00000168005
HUMAN04785	ENSG00000072518
HUMAN04788	ENSG00000167771
HUMAN04789	ENSG00000110583
HUMAN04791	ENSG00000176340
HUMAN04794	ENSG00000167770
HUMAN04795	ENSG00000133315
HUMAN04796	ENSG00000126500
HUMAN04797	ENSG00000168439
HUMAN04799	ENSG00000149781
HUMAN04800	ENSG00000149743
HUMAN04802	ENSG00000149761
HUMAN04805	ENSG00000110011
HUMAN04806	ENSG00000173511
HUMAN04807	ENSG00000173486
HUMAN04808	ENSG00000173457
HUMAN04810	ENSG00000149782
HUMAN04811	ENSG00000002330
HUMAN04815	ENSG00000173264
HUMAN04817	ENSG00000182450
HUMAN04818	ENSG00000219435
HUMAN04819	ENSG00000173153
HUMAN04821	ENSG00000173113
HUMAN04823	ENSG00000126432
HUMAN04824	ENSG00000168071
HUMAN04826	ENSG00000162302
HUMAN04827	ENSG00000168065
HUMAN04828	ENSG00000197891
HUMAN04830	ENSG00000110076
HUMAN04831	ENSG00000068831
HUMAN04834	ENSG00000068976
HUMAN04835	ENSG00000168066
HUMAN04837	ENSG00000168067
HUMAN04838	ENSG00000133895
HUMAN04839	ENSG00000171219
HUMAN04840	ENSG00000110047
HUMAN04841	ENSG00000110046
HUMAN04842	ENSG00000068971
HUMAN04843	ENSG00000149735
HUMAN04847	ENSG00000168070
HUMAN04848	ENSG00000168062
HUMAN04849	ENSG00000213465
HUMAN04850	ENSG00000110025
HUMAN04852	ENSG00000168061
HUMAN04855	ENSG00000168060
HUMAN04857	ENSG00000146670
HUMAN04860	ENSG00000162300
HUMAN04862	ENSG00000187066
HUMAN04865	ENSG00000149823
HUMAN04868	ENSG00000149809
HUMAN04869	ENSG00000174276
HUMAN04870	ENSG00000149806
HUMAN04871	ENSG00000162298
HUMAN04872	ENSG00000149792
HUMAN04876	ENSG00000204710
HUMAN04877	ENSG00000014216
HUMAN04878	ENSG00000014138
HUMAN04880	ENSG00000149798
HUMAN04881	ENSG00000133884
HUMAN04882	ENSG00000173825
HUMAN04883	ENSG00000162241
HUMAN04886	ENSG00000126391
HUMAN04889	ENSG00000142186
HUMAN04890	ENSG00000168056
HUMAN04892	ENSG00000173465
HUMAN04895	ENSG00000176973
HUMAN04896	ENSG00000173442
HUMAN04897	ENSG00000173338
HUMAN04899	ENSG00000173327
HUMAN04900	ENSG00000197136
HUMAN04901	ENSG00000213445
HUMAN04902	ENSG00000173039
HUMAN04903	ENSG00000172977
HUMAN04905	ENSG00000172922
HUMAN04907	ENSG00000254470
HUMAN04908	ENSG00000172818
HUMAN04909	ENSG00000172757
HUMAN04910	ENSG00000172803
HUMAN04912	ENSG00000172732
HUMAN04913	ENSG00000172638
HUMAN04918	ENSG00000172543
HUMAN04919	ENSG00000172500
HUMAN04920	ENSG00000175602
HUMAN04921	ENSG00000175592
HUMAN04922	ENSG00000175573
HUMAN04923	ENSG00000175550
HUMAN04924	ENSG00000175513
HUMAN04926	ENSG00000175467
HUMAN04927	ENSG00000175376
HUMAN04928	ENSG00000175334
HUMAN04929	ENSG00000175315
HUMAN04930	ENSG00000175294
HUMAN04931	ENSG00000175229
HUMAN04932	ENSG00000087365
HUMAN04933	ENSG00000175115
HUMAN04938	ENSG00000174996
HUMAN04941	ENSG00000174903
HUMAN04942	ENSG00000174871
HUMAN04946	ENSG00000174851
HUMAN04947	ENSG00000179292
HUMAN04948	ENSG00000174807
HUMAN04949	ENSG00000174791
HUMAN04950	ENSG00000174744
HUMAN04952	ENSG00000174684
HUMAN04953	ENSG00000174669
HUMAN04954	ENSG00000174576
HUMAN04956	ENSG00000174547
HUMAN04957	ENSG00000174516
HUMAN04959	ENSG00000254986
HUMAN04960	ENSG00000256349
HUMAN04961	ENSG00000174483
HUMAN04963	ENSG00000174165
HUMAN04964	ENSG00000248746
HUMAN04966	ENSG00000174080
HUMAN04967	ENSG00000182791
HUMAN04968	ENSG00000173992
HUMAN04970	ENSG00000239306
HUMAN04973	ENSG00000248643
HUMAN04978	ENSG00000173933
HUMAN04979	ENSG00000173914
HUMAN04980	ENSG00000173898
HUMAN04981	ENSG00000173715
HUMAN04983	ENSG00000173653
HUMAN04985	ENSG00000173599
HUMAN04986	ENSG00000173621
HUMAN04987	ENSG00000173237
HUMAN04988	ENSG00000173227
HUMAN04989	ENSG00000173156
HUMAN04990	ENSG00000173120
HUMAN04991	ENSG00000173020
HUMAN04993	ENSG00000172932
HUMAN04994	ENSG00000172830
HUMAN04995	ENSG00000172613
HUMAN04996	ENSG00000175482
HUMAN04998	ENSG00000175505
HUMAN04999	ENSG00000172531
HUMAN05001	ENSG00000175463
HUMAN05002	ENSG00000172508
HUMAN05004	ENSG00000175634
HUMAN05005	ENSG00000172725
HUMAN05007	ENSG00000213402
HUMAN05008	ENSG00000175514
HUMAN05009	ENSG00000175544
HUMAN05010	ENSG00000172663
HUMAN05013	ENSG00000110711
HUMAN05015	ENSG00000110697
HUMAN05016	ENSG00000167797
HUMAN05019	ENSG00000167791
HUMAN05020	ENSG00000084207
HUMAN05023	ENSG00000167792
HUMAN05026	ENSG00000167799
HUMAN05027	ENSG00000167800
HUMAN05028	ENSG00000132744
HUMAN05029	ENSG00000132746
HUMAN05031	ENSG00000110057
HUMAN05033	ENSG00000006534
HUMAN05036	ENSG00000110717
HUMAN05041	ENSG00000110719
HUMAN05043	ENSG00000110721
HUMAN05045	ENSG00000110066
HUMAN05048	ENSG00000171067
HUMAN05049	ENSG00000162337
HUMAN05051	ENSG00000110075
HUMAN05055	ENSG00000069482
HUMAN05056	ENSG00000132749
HUMAN05058	ENSG00000110090
HUMAN05059	ENSG00000197345
HUMAN05061	ENSG00000132740
HUMAN05062	ENSG00000172938
HUMAN05063	ENSG00000172935
HUMAN05065	ENSG00000162341
HUMAN05066	ENSG00000172927
HUMAN05067	ENSG00000110092
HUMAN05069	ENSG00000149716
HUMAN05072	ENSG00000162344
HUMAN05073	ENSG00000075388
HUMAN05074	ENSG00000186895
HUMAN05075	ENSG00000131620
HUMAN05076	ENSG00000168040
HUMAN05077	ENSG00000131626
HUMAN05082	ENSG00000085733
HUMAN05083	ENSG00000162105
HUMAN05088	ENSG00000172893
HUMAN05091	ENSG00000172890
HUMAN05094	ENSG00000244411
HUMAN05095	ENSG00000241233
HUMAN05096	ENSG00000254997
HUMAN05097	ENSG00000204572
HUMAN05099	ENSG00000204571
HUMAN05100	ENSG00000158483
HUMAN05103	ENSG00000184276
HUMAN05105	ENSG00000254469
HUMAN05107	ENSG00000225805
HUMAN05108	ENSG00000137522
HUMAN05110	ENSG00000137496
HUMAN05113	ENSG00000137497
HUMAN05114	ENSG00000184154
HUMAN05121	ENSG00000149357
HUMAN05125	ENSG00000110200
HUMAN05127	ENSG00000110203
HUMAN05128	ENSG00000110195
HUMAN05129	ENSG00000165457
HUMAN05131	ENSG00000165458
HUMAN05133	ENSG00000165462
HUMAN05134	ENSG00000162129
HUMAN05136	ENSG00000186642
HUMAN05147	ENSG00000186635
HUMAN05150	ENSG00000214530
HUMAN05156	ENSG00000168010
HUMAN05158	ENSG00000137478
HUMAN05159	ENSG00000175591
HUMAN05160	ENSG00000171631
HUMAN05161	ENSG00000110237
HUMAN05163	ENSG00000054967
HUMAN05164	ENSG00000054965
HUMAN05165	ENSG00000021300
HUMAN05168	ENSG00000175582
HUMAN05169	ENSG00000175581
HUMAN05172	ENSG00000181924
HUMAN05173	ENSG00000175575
HUMAN05175	ENSG00000187726
HUMAN05177	ENSG00000175567
HUMAN05178	ENSG00000175564
HUMAN05179	ENSG00000168014
HUMAN05182	ENSG00000214517
HUMAN05183	ENSG00000149380
HUMAN05184	ENSG00000165434
HUMAN05185	ENSG00000175538
HUMAN05187	ENSG00000175536
HUMAN05188	ENSG00000077514
HUMAN05192	ENSG00000054938
HUMAN05193	ENSG00000166439
HUMAN05194	ENSG00000166435
HUMAN05195	ENSG00000118363
HUMAN05197	ENSG00000162139
HUMAN05201	ENSG00000171561
HUMAN05202	ENSG00000137491
HUMAN05203	ENSG00000261594
HUMAN05204	ENSG00000137486
HUMAN05208	ENSG00000149273
HUMAN05209	ENSG00000149243
HUMAN05210	ENSG00000158555
HUMAN05211	ENSG00000149257
HUMAN05212	ENSG00000171533
HUMAN05213	ENSG00000166391
HUMAN05215	ENSG00000062282
HUMAN05216	ENSG00000198382
HUMAN05218	ENSG00000085741
HUMAN05219	ENSG00000137492
HUMAN05221	ENSG00000179240
HUMAN05224	ENSG00000158636
HUMAN05226	ENSG00000137507
HUMAN05227	ENSG00000182704
HUMAN05228	ENSG00000078124
HUMAN05232	ENSG00000198488
HUMAN05233	ENSG00000149260
HUMAN05234	ENSG00000254550
HUMAN05235	ENSG00000137474
HUMAN05236	ENSG00000178795
HUMAN05237	ENSG00000149269
HUMAN05239	ENSG00000074201
HUMAN05241	ENSG00000178301
HUMAN05242	ENSG00000048649
HUMAN05247	ENSG00000087884
HUMAN05250	ENSG00000149262
HUMAN05252	ENSG00000151364
HUMAN05253	ENSG00000259112
HUMAN05255	ENSG00000151365
HUMAN05256	ENSG00000151366
HUMAN05258	ENSG00000159063
HUMAN05261	ENSG00000188997
HUMAN05262	ENSG00000118369
HUMAN05263	ENSG00000033327
HUMAN05264	ENSG00000137513
HUMAN05265	ENSG00000149256
HUMAN05266	ENSG00000182103
HUMAN05267	ENSG00000137509
HUMAN05268	ENSG00000165490
HUMAN05270	ENSG00000137502
HUMAN05272	ENSG00000165494
HUMAN05274	ENSG00000137494
HUMAN05277	ENSG00000137500
HUMAN05281	ENSG00000150672
HUMAN05287	ENSG00000171204
HUMAN05291	ENSG00000171202
HUMAN05293	ENSG00000137504
HUMAN05294	ENSG00000179071
HUMAN05296	ENSG00000137501
HUMAN05297	ENSG00000150676
HUMAN05299	ENSG00000073921
HUMAN05300	ENSG00000074266
HUMAN05301	ENSG00000149196
HUMAN05302	ENSG00000149201
HUMAN05303	ENSG00000151376
HUMAN05306	ENSG00000150687
HUMAN05309	ENSG00000174804
HUMAN05311	ENSG00000166575
HUMAN05312	ENSG00000123892
HUMAN05314	ENSG00000109861
HUMAN05316	ENSG00000168959
HUMAN05319	ENSG00000077498
HUMAN05320	ENSG00000086991
HUMAN05321	ENSG00000214414
HUMAN05322	ENSG00000168930
HUMAN05323	ENSG00000189253
HUMAN05324	ENSG00000223417
HUMAN05325	ENSG00000233802
HUMAN05326	ENSG00000204450
HUMAN05327	ENSG00000204449
HUMAN05328	ENSG00000255009
HUMAN05329	ENSG00000077616
HUMAN05331	ENSG00000110172
HUMAN05334	ENSG00000165323
HUMAN05335	ENSG00000134640
HUMAN05337	ENSG00000180773
HUMAN05339	ENSG00000165325
HUMAN05340	ENSG00000166002
HUMAN05341	ENSG00000166004
HUMAN05342	ENSG00000166012
HUMAN05345	ENSG00000182919
HUMAN05346	ENSG00000042429
HUMAN05348	ENSG00000214376
HUMAN05349	ENSG00000181333
HUMAN05350	ENSG00000110218
HUMAN05351	ENSG00000183560
HUMAN05352	ENSG00000123901
HUMAN05353	ENSG00000020922
HUMAN05354	ENSG00000168876
HUMAN05356	ENSG00000257057
HUMAN05357	ENSG00000196371
HUMAN05358	ENSG00000134627
HUMAN05361	ENSG00000166025
HUMAN05362	ENSG00000150316
HUMAN05363	ENSG00000186280
HUMAN05364	ENSG00000235268
HUMAN05365	ENSG00000263465
HUMAN05366	ENSG00000149218
HUMAN05367	ENSG00000149212
HUMAN05368	ENSG00000077458
HUMAN05370	ENSG00000166037
HUMAN05373	ENSG00000087053
HUMAN05374	ENSG00000184384
HUMAN05375	ENSG00000149231
HUMAN05376	ENSG00000183340
HUMAN05377	ENSG00000149972
HUMAN05378	ENSG00000165895
HUMAN05379	ENSG00000170647
HUMAN05380	ENSG00000082175
HUMAN05382	ENSG00000137672
HUMAN05383	ENSG00000187151
HUMAN05385	ENSG00000110318
HUMAN05386	ENSG00000137691
HUMAN05387	ENSG00000137693
HUMAN05388	ENSG00000023445
HUMAN05390	ENSG00000110330
HUMAN05391	ENSG00000152558
HUMAN05393	ENSG00000137673
HUMAN05394	ENSG00000137674
HUMAN05395	ENSG00000137675
HUMAN05396	ENSG00000118113
HUMAN05399	ENSG00000166670
HUMAN05400	ENSG00000196611
HUMAN05401	ENSG00000149968
HUMAN05403	ENSG00000262406
HUMAN05404	ENSG00000137745
HUMAN05406	ENSG00000137692
HUMAN05409	ENSG00000187240
HUMAN05410	ENSG00000170962
HUMAN05412	ENSG00000170967
HUMAN05413	ENSG00000204403
HUMAN05415	ENSG00000196954
HUMAN05417	ENSG00000137757
HUMAN05418	ENSG00000137752
HUMAN05419	ENSG00000204397
HUMAN05420	ENSG00000255221
HUMAN05421	ENSG00000255501
HUMAN05422	ENSG00000152578
HUMAN05425	ENSG00000170903
HUMAN05426	ENSG00000182359
HUMAN05428	ENSG00000149313
HUMAN05429	ENSG00000152402
HUMAN05430	ENSG00000152404
HUMAN05431	ENSG00000137760
HUMAN05432	ENSG00000110675
HUMAN05434	ENSG00000110660
HUMAN05435	ENSG00000179331
HUMAN05436	ENSG00000166266
HUMAN05437	ENSG00000075239
HUMAN05439	ENSG00000149308
HUMAN05441	ENSG00000149311
HUMAN05443	ENSG00000166323
HUMAN05445	ENSG00000178202
HUMAN05447	ENSG00000110723
HUMAN05448	ENSG00000178105
HUMAN05449	ENSG00000185742
HUMAN05450	ENSG00000149289
HUMAN05451	ENSG00000137710
HUMAN05453	ENSG00000137714
HUMAN05454	ENSG00000137727
HUMAN05455	ENSG00000150750
HUMAN05456	ENSG00000214290
HUMAN05457	ENSG00000110777
HUMAN05458	ENSG00000137707
HUMAN05460	ENSG00000183644
HUMAN05462	ENSG00000204381
HUMAN05463	ENSG00000170145
HUMAN05464	ENSG00000137713
HUMAN05469	ENSG00000258529
HUMAN05470	ENSG00000255561
HUMAN05472	ENSG00000137720
HUMAN05473	ENSG00000109846
HUMAN05476	ENSG00000170276
HUMAN05478	ENSG00000149300
HUMAN05479	ENSG00000150764
HUMAN05480	ENSG00000150768
HUMAN05481	ENSG00000150773
HUMAN05482	ENSG00000150776
HUMAN05484	ENSG00000150779
HUMAN05485	ENSG00000204370
HUMAN05488	ENSG00000255292
HUMAN05489	ENSG00000150782
HUMAN05490	ENSG00000150783
HUMAN05491	ENSG00000197580
HUMAN05492	ENSG00000150787
HUMAN05493	ENSG00000188771
HUMAN05494	ENSG00000149294
HUMAN05498	ENSG00000149292
HUMAN05499	ENSG00000170209
HUMAN05501	ENSG00000149295
HUMAN05502	ENSG00000166682
HUMAN05504	ENSG00000086827
HUMAN05505	ENSG00000228607
HUMAN05506	ENSG00000048028
HUMAN05510	ENSG00000149305
HUMAN05511	ENSG00000166736
HUMAN05512	ENSG00000109906
HUMAN05513	ENSG00000166741
HUMAN05514	ENSG00000180425
HUMAN05515	ENSG00000076053
HUMAN05517	ENSG00000076043
HUMAN05519	ENSG00000095110
HUMAN05520	ENSG00000137634
HUMAN05521	ENSG00000204361
HUMAN05522	ENSG00000182985
HUMAN05525	ENSG00000137656
HUMAN05526	ENSG00000109917
HUMAN05527	ENSG00000110243
HUMAN05528	ENSG00000110244
HUMAN05529	ENSG00000110245
HUMAN05530	ENSG00000118137
HUMAN05532	ENSG00000160584
HUMAN05534	ENSG00000168092
HUMAN05537	ENSG00000149577
HUMAN05540	ENSG00000149591
HUMAN05541	ENSG00000160613
HUMAN05542	ENSG00000167257
HUMAN05543	ENSG00000186318
HUMAN05544	ENSG00000110274
HUMAN05545	ENSG00000177103
HUMAN05546	ENSG00000137731
HUMAN05550	ENSG00000137726
HUMAN05551	ENSG00000137747
HUMAN05553	ENSG00000110324
HUMAN05555	ENSG00000255274
HUMAN05556	ENSG00000279906
HUMAN05557	ENSG00000137648
HUMAN05558	ENSG00000177098
HUMAN05559	ENSG00000149575
HUMAN05560	ENSG00000160593
HUMAN05561	ENSG00000160588
HUMAN05563	ENSG00000149573
HUMAN05564	ENSG00000198851
HUMAN05565	ENSG00000167286
HUMAN05567	ENSG00000160654
HUMAN05569	ENSG00000110344
HUMAN05570	ENSG00000167283
HUMAN05571	ENSG00000118058
HUMAN05574	ENSG00000172425
HUMAN05578	ENSG00000149582
HUMAN05580	ENSG00000118096
HUMAN05581	ENSG00000095139
HUMAN05584	ENSG00000019144
HUMAN05585	ENSG00000118094
HUMAN05586	ENSG00000110367
HUMAN05587	ENSG00000160683
HUMAN05588	ENSG00000186174
HUMAN05589	ENSG00000110375
HUMAN05590	ENSG00000176302
HUMAN05592	ENSG00000186166
HUMAN05595	ENSG00000118181
HUMAN05596	ENSG00000196655
HUMAN05598	ENSG00000137700
HUMAN05599	ENSG00000149428
HUMAN05600	ENSG00000160695
HUMAN05604	ENSG00000256269
HUMAN05606	ENSG00000188486
HUMAN05607	ENSG00000172269
HUMAN05609	ENSG00000172375
HUMAN05610	ENSG00000172273
HUMAN05611	ENSG00000172350
HUMAN05612	ENSG00000160703
HUMAN05613	ENSG00000172367
HUMAN05615	ENSG00000248712
HUMAN05616	ENSG00000110395
HUMAN05617	ENSG00000076706
HUMAN05618	ENSG00000173456
HUMAN05619	ENSG00000223953
HUMAN05620	ENSG00000235718
HUMAN05622	ENSG00000036672
HUMAN05623	ENSG00000154096
HUMAN05625	ENSG00000110400
HUMAN05627	ENSG00000137699
HUMAN05630	ENSG00000184232
HUMAN05631	ENSG00000137709
HUMAN05633	ENSG00000181264
HUMAN05634	ENSG00000196914
HUMAN05635	ENSG00000149403
HUMAN05636	ENSG00000154114
HUMAN05637	ENSG00000109927
HUMAN05638	ENSG00000109929
HUMAN05639	ENSG00000137642
HUMAN05640	ENSG00000259571
HUMAN05641	ENSG00000154127
HUMAN05642	ENSG00000109943
HUMAN05643	ENSG00000109944
HUMAN05644	ENSG00000188909
HUMAN05645	ENSG00000109971
HUMAN05646	ENSG00000166250
HUMAN05647	ENSG00000023171
HUMAN05649	ENSG00000166257
HUMAN05650	ENSG00000166261
HUMAN05651	ENSG00000221931
HUMAN05652	ENSG00000196099
HUMAN05653	ENSG00000204300
HUMAN05654	ENSG00000181518
HUMAN05655	ENSG00000171014
HUMAN05656	ENSG00000181499
HUMAN05657	ENSG00000196248
HUMAN05658	ENSG00000198674
HUMAN05659	ENSG00000254737
HUMAN05660	ENSG00000236981
HUMAN05661	ENSG00000234560
HUMAN05662	ENSG00000182634
HUMAN05663	ENSG00000110002
HUMAN05664	ENSG00000197309
HUMAN05665	ENSG00000197849
HUMAN05666	ENSG00000255298
HUMAN05667	ENSG00000196341
HUMAN05668	ENSG00000279116
HUMAN05669	ENSG00000204293
HUMAN05670	ENSG00000196661
HUMAN05671	ENSG00000280090
HUMAN05672	ENSG00000197125
HUMAN05673	ENSG00000170953
HUMAN05674	ENSG00000196119
HUMAN05675	ENSG00000154143
HUMAN05676	ENSG00000154144
HUMAN05677	ENSG00000110013
HUMAN05678	ENSG00000064199
HUMAN05679	ENSG00000154146
HUMAN05680	ENSG00000019102
HUMAN05682	ENSG00000149564
HUMAN05683	ENSG00000120458
HUMAN05685	ENSG00000154134
HUMAN05686	ENSG00000154133
HUMAN05687	ENSG00000165478
HUMAN05688	ENSG00000221932
HUMAN05689	ENSG00000149548
HUMAN05690	ENSG00000134955
HUMAN05691	ENSG00000150433
HUMAN05692	ENSG00000165495
HUMAN05693	ENSG00000149557
HUMAN05695	ENSG00000149547
HUMAN05697	ENSG00000134910
HUMAN05698	ENSG00000149554
HUMAN05700	ENSG00000134940
HUMAN05701	ENSG00000171053
HUMAN05702	ENSG00000196844
HUMAN05703	ENSG00000236027
HUMAN05704	ENSG00000237353
HUMAN05705	ENSG00000198331
HUMAN05706	ENSG00000110060
HUMAN05708	ENSG00000109832
HUMAN05710	ENSG00000064309
HUMAN05711	ENSG00000165526
HUMAN05712	ENSG00000197798
HUMAN05713	ENSG00000182934
HUMAN05714	ENSG00000110074
HUMAN05716	ENSG00000150455
HUMAN05717	ENSG00000110063
HUMAN05719	ENSG00000110080
HUMAN05720	ENSG00000149571
HUMAN05722	ENSG00000134954
HUMAN05724	ENSG00000151702
HUMAN05725	ENSG00000151704
HUMAN05726	ENSG00000120457
HUMAN05727	ENSG00000174370
HUMAN05728	ENSG00000120471
HUMAN05730	ENSG00000134909
HUMAN05731	ENSG00000043039
HUMAN05732	ENSG00000151715
HUMAN05733	ENSG00000170322
HUMAN05734	ENSG00000170325
HUMAN05737	ENSG00000084234
HUMAN05738	ENSG00000149418
HUMAN05740	ENSG00000196323
HUMAN05741	ENSG00000134917
HUMAN05742	ENSG00000166106
HUMAN05743	ENSG00000120451
HUMAN05746	ENSG00000182667
HUMAN05748	ENSG00000183715
HUMAN05749	ENSG00000166118
HUMAN05750	ENSG00000080854
HUMAN05752	ENSG00000166086
HUMAN05754	ENSG00000151503
HUMAN05757	ENSG00000151502
HUMAN05759	ENSG00000151500
HUMAN05760	ENSG00000151498
HUMAN05761	ENSG00000166105
HUMAN05762	ENSG00000149328
HUMAN05763	ENSG00000109956
HUMAN05764	ENSG00000120645
HUMAN05765	ENSG00000111181
HUMAN05766	ENSG00000010379
HUMAN05769	ENSG00000073614
HUMAN05771	ENSG00000120647
HUMAN05772	ENSG00000139044
HUMAN05774	ENSG00000171840
HUMAN05776	ENSG00000060237
HUMAN05778	ENSG00000002016
HUMAN05782	ENSG00000082805
HUMAN05783	ENSG00000111186
HUMAN05784	ENSG00000171823
HUMAN05785	ENSG00000006831
HUMAN05787	ENSG00000151062
HUMAN05788	ENSG00000166159
HUMAN05789	ENSG00000151065
HUMAN05793	ENSG00000151067
HUMAN05796	ENSG00000004478
HUMAN05800	ENSG00000111203
HUMAN05803	ENSG00000053702
HUMAN05804	ENSG00000283297
HUMAN05805	ENSG00000111206
HUMAN05806	ENSG00000171792
HUMAN05807	ENSG00000078246
HUMAN05809	ENSG00000197905
HUMAN05810	ENSG00000011105
HUMAN05813	ENSG00000111218
HUMAN05815	ENSG00000130038
HUMAN05817	ENSG00000111224
HUMAN05818	ENSG00000118971
HUMAN05820	ENSG00000078237
HUMAN05821	ENSG00000118972
HUMAN05822	ENSG00000111241
HUMAN05823	ENSG00000047621
HUMAN05825	ENSG00000111247
HUMAN05826	ENSG00000010219
HUMAN05830	ENSG00000111254
HUMAN05831	ENSG00000139180
HUMAN05836	ENSG00000130035
HUMAN05837	ENSG00000111262
HUMAN05838	ENSG00000130037
HUMAN05839	ENSG00000185652
HUMAN05840	ENSG00000047617
HUMAN05841	ENSG00000110799
HUMAN05843	ENSG00000010278
HUMAN05845	ENSG00000008323
HUMAN05847	ENSG00000067182
HUMAN05851	ENSG00000111319
HUMAN05852	ENSG00000111321
HUMAN05854	ENSG00000139193
HUMAN05855	ENSG00000139192
HUMAN05856	ENSG00000139190
HUMAN05857	ENSG00000111639
HUMAN05858	ENSG00000010292
HUMAN05859	ENSG00000111640
HUMAN05860	ENSG00000010295
HUMAN05861	ENSG00000111641
HUMAN05862	ENSG00000111642
HUMAN05863	ENSG00000184574
HUMAN05864	ENSG00000111644
HUMAN05865	ENSG00000111653
HUMAN05867	ENSG00000126746
HUMAN05868	ENSG00000139200
HUMAN05869	ENSG00000111652
HUMAN05873	ENSG00000089693
HUMAN05875	ENSG00000159335
HUMAN05876	ENSG00000089692
HUMAN05877	ENSG00000010610
HUMAN05878	ENSG00000250510
HUMAN05880	ENSG00000110811
HUMAN05881	ENSG00000111664
HUMAN05884	ENSG00000111665
HUMAN05885	ENSG00000111667
HUMAN05886	ENSG00000111669
HUMAN05887	ENSG00000111671
HUMAN05890	ENSG00000010626
HUMAN05892	ENSG00000111674
HUMAN05894	ENSG00000111676
HUMAN05896	ENSG00000111678
HUMAN05898	ENSG00000111679
HUMAN05900	ENSG00000215021
HUMAN05904	ENSG00000126749
HUMAN05905	ENSG00000111684
HUMAN05907	ENSG00000182326
HUMAN05908	ENSG00000159403
HUMAN05911	ENSG00000139178
HUMAN05913	ENSG00000139194
HUMAN05916	ENSG00000139182
HUMAN05917	ENSG00000139197
