HUMAN00001	ENST00000335137
HUMAN08181	ENST00000342740
HUMAN08181	ENST00000646442
HUMAN08182	ENST00000537691
HUMAN08182	ENST00000397016
HUMAN08182	ENST00000645359
HUMAN08182	ENST00000647071
HUMAN08183	ENST00000397002
HUMAN08183	ENST00000396995
HUMAN08183	ENST00000396997
HUMAN08183	ENST00000560550
HUMAN08183	ENST00000561028
HUMAN08183	ENST00000642485
HUMAN08183	ENST00000643394
HUMAN08183	ENST00000645740
HUMAN08183	ENST00000646526
HUMAN08183	ENST00000647376
HUMAN08184	ENST00000216780
HUMAN08184	ENST00000396973
HUMAN08184	ENST00000545054
HUMAN08184	ENST00000561286
HUMAN08184	ENST00000644679
HUMAN08184	ENST00000645217
HUMAN08184	ENST00000645536
HUMAN08184	ENST00000645709
HUMAN08188	ENST00000559115
HUMAN08188	ENST00000396936
HUMAN08188	ENST00000396941
HUMAN08188	ENST00000446197
HUMAN08188	ENST00000642239
HUMAN08188	ENST00000644566
HUMAN08188	ENST00000646524
HUMAN08188	ENST00000646568
HUMAN08190	ENST00000267426
HUMAN08190	ENST00000559294
HUMAN08190	ENST00000642380
HUMAN08190	ENST00000644407
HUMAN08191	ENST00000206451
HUMAN08191	ENST00000382708
HUMAN08191	ENST00000561435
HUMAN08191	ENST00000643169
HUMAN08191	ENST00000645537
HUMAN08191	ENST00000646132
HUMAN08194	ENST00000419198
HUMAN08194	ENST00000216799
HUMAN08194	ENST00000642147
HUMAN08194	ENST00000646772
HUMAN08195	ENST00000615264
HUMAN08197	ENST00000324103
HUMAN08197	ENST00000559275
HUMAN08197	ENST00000642631
HUMAN08197	ENST00000647495
HUMAN08198	ENST00000396864
HUMAN08198	ENST00000646071
HUMAN08200	ENST00000620473
HUMAN08200	ENST00000611366
HUMAN08200	ENST00000642486
HUMAN08200	ENST00000646765
HUMAN08202	ENST00000354464
HUMAN08202	ENST00000644546
HUMAN08203	ENST00000530611
HUMAN08204	ENST00000339917
HUMAN08204	ENST00000287913
HUMAN08204	ENST00000556621
HUMAN08204	ENST00000643387
HUMAN08204	ENST00000645264
HUMAN08204	ENST00000645272
HUMAN08206	ENST00000347519
HUMAN08206	ENST00000609024
HUMAN08206	ENST00000645179
HUMAN08206	ENST00000645308
HUMAN08207	ENST00000288087
HUMAN08207	ENST00000396833
HUMAN08207	ENST00000644853
HUMAN08207	ENST00000646165
HUMAN08208	ENST00000605847
HUMAN08211	ENST00000250495
HUMAN08211	ENST00000643069
HUMAN08213	ENST00000557854
HUMAN08216	ENST00000267415
HUMAN08216	ENST00000399423
HUMAN08216	ENST00000642983
HUMAN08216	ENST00000646576
HUMAN08217	ENST00000206765
HUMAN08217	ENST00000544573
HUMAN08217	ENST00000642845
HUMAN08217	ENST00000646057
HUMAN08218	ENST00000399409
HUMAN08218	ENST00000216840
HUMAN08218	ENST00000644383
HUMAN08218	ENST00000646658
HUMAN08219	ENST00000288111
HUMAN08219	ENST00000396813
HUMAN08219	ENST00000644514
HUMAN08219	ENST00000647514
HUMAN08220	ENST00000267425
HUMAN08220	ENST00000396802
HUMAN08220	ENST00000642262
HUMAN08220	ENST00000644840
HUMAN08221	ENST00000554411
HUMAN08221	ENST00000258807
HUMAN08221	ENST00000336557
HUMAN08221	ENST00000642223
HUMAN08221	ENST00000644519
HUMAN08221	ENST00000644672
HUMAN08222	ENST00000528054
HUMAN08223	ENST00000345363
HUMAN08223	ENST00000396782
HUMAN08223	ENST00000396789
HUMAN08223	ENST00000646659
HUMAN08223	ENST00000646739
HUMAN08223	ENST00000647085
HUMAN08224	ENST00000310677
HUMAN08224	ENST00000418030
HUMAN08224	ENST00000554068
HUMAN08224	ENST00000642645
HUMAN08224	ENST00000644961
HUMAN08224	ENST00000646612
HUMAN08226	ENST00000216274
HUMAN08226	ENST00000554756
HUMAN08226	ENST00000643393
HUMAN08226	ENST00000646516
HUMAN08228	ENST00000413692
HUMAN08228	ENST00000555802
HUMAN08228	ENST00000250373
HUMAN08228	ENST00000422617
HUMAN08228	ENST00000424781
HUMAN08228	ENST00000539237
HUMAN08228	ENST00000553469
HUMAN08228	ENST00000553708
HUMAN08228	ENST00000553879
HUMAN08228	ENST00000554050
HUMAN08228	ENST00000554344
HUMAN08228	ENST00000554473
HUMAN08228	ENST00000554591
HUMAN08228	ENST00000554661
HUMAN08228	ENST00000554966
HUMAN08228	ENST00000555167
HUMAN08228	ENST00000555393
HUMAN08228	ENST00000555453
HUMAN08228	ENST00000555590
HUMAN08228	ENST00000556169
HUMAN08228	ENST00000556279
HUMAN08228	ENST00000556759
HUMAN08228	ENST00000557451
HUMAN08228	ENST00000557767
HUMAN08228	ENST00000642182
HUMAN08228	ENST00000642302
HUMAN08228	ENST00000642423
HUMAN08228	ENST00000642571
HUMAN08228	ENST00000642650
HUMAN08228	ENST00000643468
HUMAN08228	ENST00000643679
HUMAN08228	ENST00000643941
HUMAN08228	ENST00000644025
HUMAN08228	ENST00000644166
HUMAN08228	ENST00000644182
HUMAN08228	ENST00000644376
HUMAN08228	ENST00000644583
HUMAN08228	ENST00000644758
HUMAN08228	ENST00000645116
HUMAN08228	ENST00000645397
HUMAN08228	ENST00000645587
HUMAN08228	ENST00000645795
HUMAN08228	ENST00000646023
HUMAN08228	ENST00000646364
HUMAN08228	ENST00000646650
HUMAN08228	ENST00000646652
HUMAN08228	ENST00000647017
HUMAN08228	ENST00000647345
HUMAN08230	ENST00000382554
HUMAN08231	ENST00000267406
HUMAN08233	ENST00000251343
HUMAN08233	ENST00000553935
HUMAN08233	ENST00000556842
HUMAN08234	ENST00000399395
HUMAN08236	ENST00000250378
HUMAN08236	ENST00000206446
HUMAN08237	ENST00000216336
HUMAN08238	ENST00000216338
HUMAN08238	ENST00000382548
HUMAN08239	ENST00000216341
HUMAN08241	ENST00000396700
HUMAN08241	ENST00000548369
HUMAN08241	ENST00000323944
HUMAN08241	ENST00000419632
HUMAN08241	ENST00000546511
HUMAN08241	ENST00000550887
HUMAN08246	ENST00000539517
HUMAN08246	ENST00000344429
HUMAN08246	ENST00000465357
HUMAN08248	ENST00000313071
HUMAN08249	ENST00000415220
HUMAN08252	ENST00000553504
HUMAN08253	ENST00000458591
HUMAN08253	ENST00000396629
HUMAN08253	ENST00000544052
HUMAN08257	ENST00000216361
HUMAN08257	ENST00000396618
HUMAN08257	ENST00000475087
HUMAN08257	ENST00000643575
HUMAN08257	ENST00000644874
HUMAN08259	ENST00000357479
HUMAN08259	ENST00000355683
HUMAN08260	ENST00000216366
HUMAN08260	ENST00000313566
HUMAN08260	ENST00000622409
HUMAN08260	ENST00000334725
HUMAN08260	ENST00000542754
HUMAN08260	ENST00000554345
HUMAN08260	ENST00000616371
HUMAN08264	ENST00000611816
HUMAN08266	ENST00000543095
HUMAN08268	ENST00000549185
HUMAN08268	ENST00000547378
HUMAN08269	ENST00000310850
HUMAN08269	ENST00000356180
HUMAN08271	ENST00000399285
HUMAN08273	ENST00000281081
HUMAN08273	ENST00000547839
HUMAN08276	ENST00000539826
HUMAN08276	ENST00000345122
HUMAN08276	ENST00000396582
HUMAN08276	ENST00000433497
HUMAN08276	ENST00000556611
HUMAN08277	ENST00000280979
HUMAN08277	ENST00000557354
HUMAN08279	ENST00000551492
HUMAN08283	ENST00000250457
HUMAN08285	ENST00000298130
HUMAN08286	ENST00000250454
HUMAN08288	ENST00000362031
HUMAN08288	ENST00000652385
HUMAN08291	ENST00000341223
HUMAN08291	ENST00000298159
HUMAN08291	ENST00000555765
HUMAN08291	ENST00000556161
HUMAN08291	ENST00000672163
HUMAN08291	ENST00000672517
HUMAN08291	ENST00000673315
HUMAN08292	ENST00000382422
HUMAN08292	ENST00000358716
HUMAN08292	ENST00000360310
HUMAN08295	ENST00000556994
HUMAN08295	ENST00000216774
HUMAN08295	ENST00000546080
HUMAN08296	ENST00000280987
HUMAN08296	ENST00000382406
HUMAN08296	ENST00000396472
HUMAN08300	ENST00000261475
HUMAN08305	ENST00000534898
HUMAN08305	ENST00000250377
HUMAN08305	ENST00000321130
HUMAN08305	ENST00000603544
HUMAN08305	ENST00000604948
HUMAN08305	ENST00000605870
HUMAN08308	ENST00000553809
HUMAN08309	ENST00000216797
HUMAN08310	ENST00000307169
HUMAN08312	ENST00000637992
HUMAN08313	ENST00000216807
HUMAN08314	ENST00000416007
HUMAN08314	ENST00000318473
HUMAN08314	ENST00000359527
HUMAN08315	ENST00000518002
HUMAN08317	ENST00000354822
HUMAN08317	ENST00000498187
HUMAN08317	ENST00000518149
HUMAN08317	ENST00000522719
HUMAN08319	ENST00000258829
HUMAN08320	ENST00000402703
HUMAN08320	ENST00000361487
HUMAN08321	ENST00000331299
HUMAN08321	ENST00000555449
HUMAN08322	ENST00000396294
HUMAN08322	ENST00000327441
HUMAN08322	ENST00000537471
HUMAN08323	ENST00000250448
HUMAN08326	ENST00000478811
HUMAN08327	ENST00000267377
HUMAN08328	ENST00000342213
HUMAN08329	ENST00000307712
HUMAN08329	ENST00000537403
HUMAN08332	ENST00000308317
HUMAN08332	ENST00000250379
HUMAN08332	ENST00000396249
HUMAN08332	ENST00000412033
HUMAN08335	ENST00000330149
HUMAN08335	ENST00000347691
HUMAN08336	ENST00000216832
HUMAN08337	ENST00000280082
HUMAN08337	ENST00000280083
HUMAN08337	ENST00000341502
HUMAN08337	ENST00000341749
HUMAN08337	ENST00000348007
HUMAN08337	ENST00000396158
HUMAN08337	ENST00000396165
HUMAN08337	ENST00000553352
HUMAN08337	ENST00000556148
HUMAN08337	ENST00000557038
HUMAN08337	ENST00000640607
HUMAN08338	ENST00000553728
HUMAN08340	ENST00000298097
HUMAN08341	ENST00000298119
HUMAN08342	ENST00000340446
HUMAN08343	ENST00000325192
HUMAN08344	ENST00000355081
HUMAN08345	ENST00000361462
HUMAN08346	ENST00000355765
HUMAN08348	ENST00000216330
HUMAN08348	ENST00000396062
HUMAN08350	ENST00000267430
HUMAN08350	ENST00000542564
HUMAN08350	ENST00000556036
HUMAN08351	ENST00000310806
HUMAN08352	ENST00000298283
HUMAN08353	ENST00000399232
HUMAN08353	ENST00000357362
HUMAN08353	ENST00000426342
HUMAN08356	ENST00000396020
HUMAN08356	ENST00000245458
HUMAN08356	ENST00000556230
HUMAN08358	ENST00000298288
HUMAN08358	ENST00000318317
HUMAN08360	ENST00000298289
HUMAN08361	ENST00000305386
HUMAN08362	ENST00000298292
HUMAN08362	ENST00000406043
HUMAN08363	ENST00000216367
HUMAN08363	ENST00000539565
HUMAN08363	ENST00000554396
HUMAN08366	ENST00000359332
HUMAN08367	ENST00000298307
HUMAN08367	ENST00000555443
HUMAN08367	ENST00000555739
HUMAN08368	ENST00000298310
HUMAN08369	ENST00000298316
HUMAN08370	ENST00000395860
HUMAN08370	ENST00000395859
HUMAN08370	ENST00000491402
HUMAN08371	ENST00000216373
HUMAN08371	ENST00000543680
HUMAN08373	ENST00000267436
HUMAN08373	ENST00000421284
HUMAN08378	ENST00000311459
HUMAN08378	ENST00000554204
HUMAN08378	ENST00000245448
HUMAN08378	ENST00000672612
HUMAN08380	ENST00000395834
HUMAN08381	ENST00000013125
HUMAN08382	ENST00000358385
HUMAN08382	ENST00000441560
HUMAN08383	ENST00000324679
HUMAN08385	ENST00000245441
HUMAN08385	ENST00000324330
HUMAN08385	ENST00000382041
HUMAN08385	ENST00000382043
HUMAN08385	ENST00000530997
HUMAN08387	ENST00000216392
HUMAN08387	ENST00000544180
HUMAN08388	ENST00000337334
HUMAN08388	ENST00000353130
HUMAN08388	ENST00000382029
HUMAN08388	ENST00000557345
HUMAN08389	ENST00000338969
HUMAN08389	ENST00000298355
HUMAN08389	ENST00000360392
HUMAN08390	ENST00000457354
HUMAN08391	ENST00000344768
HUMAN08391	ENST00000356218
HUMAN08391	ENST00000395718
HUMAN08391	ENST00000553556
HUMAN08393	ENST00000553432
HUMAN08398	ENST00000261700
HUMAN08399	ENST00000216286
HUMAN08400	ENST00000306051
HUMAN08400	ENST00000553372
HUMAN08401	ENST00000245457
HUMAN08402	ENST00000281741
HUMAN08403	ENST00000321662
HUMAN08405	ENST00000395686
HUMAN08406	ENST00000445930
HUMAN08406	ENST00000612399
HUMAN08408	ENST00000442123
HUMAN08408	ENST00000354586
HUMAN08409	ENST00000216410
HUMAN08409	ENST00000650397
HUMAN08410	ENST00000343279
HUMAN08410	ENST00000341590
HUMAN08410	ENST00000395631
HUMAN08410	ENST00000399304
HUMAN08410	ENST00000553373
HUMAN08411	ENST00000323669
HUMAN08411	ENST00000357758
HUMAN08411	ENST00000395606
HUMAN08411	ENST00000673822
HUMAN08412	ENST00000245451
HUMAN08412	ENST00000417573
HUMAN08412	ENST00000558984
HUMAN08412	ENST00000559087
HUMAN08414	ENST00000335183
HUMAN08414	ENST00000442975
HUMAN08415	ENST00000557690
HUMAN08417	ENST00000553333
HUMAN08418	ENST00000216420
HUMAN08420	ENST00000554335
HUMAN08420	ENST00000251091
HUMAN08420	ENST00000392067
HUMAN08422	ENST00000543643
HUMAN08422	ENST00000622544
HUMAN08422	ENST00000395514
HUMAN08422	ENST00000491895
HUMAN08422	ENST00000536224
HUMAN08424	ENST00000360586
HUMAN08424	ENST00000420358
HUMAN08425	ENST00000395472
HUMAN08425	ENST00000339298
HUMAN08425	ENST00000555846
HUMAN08426	ENST00000395468
HUMAN08426	ENST00000622254
HUMAN08427	ENST00000254301
HUMAN08429	ENST00000247191
HUMAN08429	ENST00000395425
HUMAN08430	ENST00000313833
HUMAN08430	ENST00000440021
HUMAN08431	ENST00000247178
HUMAN08432	ENST00000247219
HUMAN08433	ENST00000459737
HUMAN08433	ENST00000395308
HUMAN08433	ENST00000395309
HUMAN08433	ENST00000395311
HUMAN08433	ENST00000395314
HUMAN08433	ENST00000413890
HUMAN08433	ENST00000438792
HUMAN08438	ENST00000267460
HUMAN08440	ENST00000261556
HUMAN08440	ENST00000538838
HUMAN08442	ENST00000339475
HUMAN08442	ENST00000408990
HUMAN08442	ENST00000555006
HUMAN08442	ENST00000672264
HUMAN08442	ENST00000673035
HUMAN08442	ENST00000673481
HUMAN08443	ENST00000413566
HUMAN08444	ENST00000431972
HUMAN08446	ENST00000556492
HUMAN08447	ENST00000422976
HUMAN08449	ENST00000339762
HUMAN08449	ENST00000554729
HUMAN08451	ENST00000267485
HUMAN08453	ENST00000254286
HUMAN08455	ENST00000216455
HUMAN08455	ENST00000412908
HUMAN08456	ENST00000355431
HUMAN08456	ENST00000348476
HUMAN08456	ENST00000395168
HUMAN08456	ENST00000431317
HUMAN08457	ENST00000360945
HUMAN08458	ENST00000395159
HUMAN08458	ENST00000555061
HUMAN08458	ENST00000555404
HUMAN08458	ENST00000555593
HUMAN08459	ENST00000354386
HUMAN08459	ENST00000261244
HUMAN08459	ENST00000423743
HUMAN08459	ENST00000556134
HUMAN08459	ENST00000619416
HUMAN08461	ENST00000335867
HUMAN08461	ENST00000395153
HUMAN08462	ENST00000395125
HUMAN08462	ENST00000360909
HUMAN08463	ENST00000481661
HUMAN08463	ENST00000395116
HUMAN08464	ENST00000247194
HUMAN08465	ENST00000554271
HUMAN08466	ENST00000281581
HUMAN08467	ENST00000267484
HUMAN08467	ENST00000342503
HUMAN08468	ENST00000445360
HUMAN08468	ENST00000254271
HUMAN08470	ENST00000406854
HUMAN08471	ENST00000611054
HUMAN08473	ENST00000325642
HUMAN08473	ENST00000325658
HUMAN08473	ENST00000395076
HUMAN08476	ENST00000321731
HUMAN08477	ENST00000327720
HUMAN08478	ENST00000247182
HUMAN08478	ENST00000645694
HUMAN08480	ENST00000216513
HUMAN08481	ENST00000261245
HUMAN08481	ENST00000539616
HUMAN08482	ENST00000261249
HUMAN08485	ENST00000354886
HUMAN08485	ENST00000267488
HUMAN08489	ENST00000332981
HUMAN08489	ENST00000555082
HUMAN08491	ENST00000555868
HUMAN08492	ENST00000539097
HUMAN08492	ENST00000323441
HUMAN08492	ENST00000337138
HUMAN08493	ENST00000216294
HUMAN08495	ENST00000568344
HUMAN08495	ENST00000430451
HUMAN08495	ENST00000555409
HUMAN08496	ENST00000322893
HUMAN08496	ENST00000394968
HUMAN08496	ENST00000420622
HUMAN08498	ENST00000316754
HUMAN08499	ENST00000621500
HUMAN08499	ENST00000314140
HUMAN08500	ENST00000337537
HUMAN08500	ENST00000422769
HUMAN08500	ENST00000555899
HUMAN08501	ENST00000394942
HUMAN08501	ENST00000267522
HUMAN08501	ENST00000620954
HUMAN08502	ENST00000247225
HUMAN08502	ENST00000645915
HUMAN08503	ENST00000358025
HUMAN08503	ENST00000341472
HUMAN08503	ENST00000344113
HUMAN08503	ENST00000458046
HUMAN08503	ENST00000639659
HUMAN08505	ENST00000341099
HUMAN08505	ENST00000267525
HUMAN08505	ENST00000344288
HUMAN08505	ENST00000353772
HUMAN08505	ENST00000358599
HUMAN08505	ENST00000553796
HUMAN08505	ENST00000554572
HUMAN08505	ENST00000555278
HUMAN08505	ENST00000557772
HUMAN08506	ENST00000545908
HUMAN08510	ENST00000608382
HUMAN08510	ENST00000394715
HUMAN08511	ENST00000394718
HUMAN08511	ENST00000320636
HUMAN08512	ENST00000554015
HUMAN08512	ENST00000358738
HUMAN08513	ENST00000394709
HUMAN08513	ENST00000247207
HUMAN08514	ENST00000298705
HUMAN08516	ENST00000247226
HUMAN08516	ENST00000394691
HUMAN08516	ENST00000471182
HUMAN08518	ENST00000556626
HUMAN08518	ENST00000389720
HUMAN08518	ENST00000389722
HUMAN08518	ENST00000644917
HUMAN08519	ENST00000623865
HUMAN08520	ENST00000607599
HUMAN08520	ENST00000548752
HUMAN08520	ENST00000549115
HUMAN08523	ENST00000549987
HUMAN08524	ENST00000389614
HUMAN08526	ENST00000267512
HUMAN08526	ENST00000533601
HUMAN08528	ENST00000246166
HUMAN08532	ENST00000246163
HUMAN08532	ENST00000284165
HUMAN08532	ENST00000341653
HUMAN08532	ENST00000358664
HUMAN08532	ENST00000358402
HUMAN08532	ENST00000394606
HUMAN08532	ENST00000553928
HUMAN08532	ENST00000556979
HUMAN08532	ENST00000618858
HUMAN08536	ENST00000360689
HUMAN08536	ENST00000342677
HUMAN08536	ENST00000394586
HUMAN08536	ENST00000557164
HUMAN08536	ENST00000673929
HUMAN08537	ENST00000636229
HUMAN08539	ENST00000543237
HUMAN08542	ENST00000612183
HUMAN08542	ENST00000311864
HUMAN08542	ENST00000534174
HUMAN08545	ENST00000261681
HUMAN08545	ENST00000555925
HUMAN08546	ENST00000554087
HUMAN08546	ENST00000216442
HUMAN08547	ENST00000256383
HUMAN08547	ENST00000466499
HUMAN08548	ENST00000216446
HUMAN08549	ENST00000555638
HUMAN08549	ENST00000357461
HUMAN08549	ENST00000557006
HUMAN08550	ENST00000329153
HUMAN08552	ENST00000216452
HUMAN08555	ENST00000261783
HUMAN08556	ENST00000554659
HUMAN08560	ENST00000381346
HUMAN08560	ENST00000428130
HUMAN08560	ENST00000553384
HUMAN08561	ENST00000551171
HUMAN08561	ENST00000267502
HUMAN08562	ENST00000347230
HUMAN08564	ENST00000487270
HUMAN08564	ENST00000471583
HUMAN08564	ENST00000488612
HUMAN08568	ENST00000439696
HUMAN08568	ENST00000336440
HUMAN08571	ENST00000538545
HUMAN08571	ENST00000193403
HUMAN08571	ENST00000394419
HUMAN08571	ENST00000438964
HUMAN08573	ENST00000341516
HUMAN08573	ENST00000554215
HUMAN08573	ENST00000556847
HUMAN08573	ENST00000557386
HUMAN08575	ENST00000409018
HUMAN08575	ENST00000312994
HUMAN08575	ENST00000409014
HUMAN08575	ENST00000409242
HUMAN08575	ENST00000409675
HUMAN08575	ENST00000409949
HUMAN08576	ENST00000337827
HUMAN08576	ENST00000448469
HUMAN08576	ENST00000553471
HUMAN08576	ENST00000553669
HUMAN08577	ENST00000557016
HUMAN08579	ENST00000336643
HUMAN08579	ENST00000555840
HUMAN08579	ENST00000556605
HUMAN08579	ENST00000557046
HUMAN08580	ENST00000322564
HUMAN08581	ENST00000599174
HUMAN08582	ENST00000342745
HUMAN08583	ENST00000553521
HUMAN08583	ENST00000394366
HUMAN08583	ENST00000553635
HUMAN08583	ENST00000557154
HUMAN08585	ENST00000216540
HUMAN08586	ENST00000361956
HUMAN08586	ENST00000381280
HUMAN08587	ENST00000381269
HUMAN08587	ENST00000216568
HUMAN08587	ENST00000356921
HUMAN08587	ENST00000357887
HUMAN08587	ENST00000394330
HUMAN08587	ENST00000494208
HUMAN08587	ENST00000528359
HUMAN08587	ENST00000534137
HUMAN08589	ENST00000389912
HUMAN08592	ENST00000617196
HUMAN08593	ENST00000603540
HUMAN08594	ENST00000256389
HUMAN08594	ENST00000652041
HUMAN08595	ENST00000615788
HUMAN08596	ENST00000256367
HUMAN08597	ENST00000555993
HUMAN08597	ENST00000554752
HUMAN08598	ENST00000304743
HUMAN08598	ENST00000439984
HUMAN08601	ENST00000555818
HUMAN08601	ENST00000358550
HUMAN08601	ENST00000381232
HUMAN08602	ENST00000553525
HUMAN08602	ENST00000355512
HUMAN08602	ENST00000404301
HUMAN08602	ENST00000406236
HUMAN08602	ENST00000407322
HUMAN08602	ENST00000553530
HUMAN08602	ENST00000554474
HUMAN08602	ENST00000554782
HUMAN08602	ENST00000555571
HUMAN08602	ENST00000556437
HUMAN08604	ENST00000624897
HUMAN08605	ENST00000556509
HUMAN08605	ENST00000381216
HUMAN08605	ENST00000541685
HUMAN08605	ENST00000546183
HUMAN08605	ENST00000614862
HUMAN08607	ENST00000358377
HUMAN08607	ENST00000394234
HUMAN08607	ENST00000509153
HUMAN08607	ENST00000555042
HUMAN08608	ENST00000553891
HUMAN08609	ENST00000261973
HUMAN08609	ENST00000525321
HUMAN08609	ENST00000526754
HUMAN08609	ENST00000527432
HUMAN08609	ENST00000528081
HUMAN08611	ENST00000324501
HUMAN08611	ENST00000394157
HUMAN08611	ENST00000357710
HUMAN08611	ENST00000394164
HUMAN08611	ENST00000553855
HUMAN08611	ENST00000555386
HUMAN08611	ENST00000557511
HUMAN08613	ENST00000554301
HUMAN08613	ENST00000340738
HUMAN08613	ENST00000555445
HUMAN08613	ENST00000644200
HUMAN08614	ENST00000355058
HUMAN08614	ENST00000356296
HUMAN08614	ENST00000359560
HUMAN08614	ENST00000535282
HUMAN08614	ENST00000544991
HUMAN08614	ENST00000554521
HUMAN08614	ENST00000554546
HUMAN08614	ENST00000555238
HUMAN08614	ENST00000555394
HUMAN08614	ENST00000555738
HUMAN08614	ENST00000557597
HUMAN08614	ENST00000559312
HUMAN08614	ENST00000560335
HUMAN08615	ENST00000553558
HUMAN08615	ENST00000334988
HUMAN08616	ENST00000304061
HUMAN08617	ENST00000311148
HUMAN08618	ENST00000238651
HUMAN08619	ENST00000326303
HUMAN08620	ENST00000381139
HUMAN08621	ENST00000553645
HUMAN08621	ENST00000311089
HUMAN08621	ENST00000554871
HUMAN08622	ENST00000316836
HUMAN08623	ENST00000423556
HUMAN08624	ENST00000555228
HUMAN08624	ENST00000267568
HUMAN08624	ENST00000555661
HUMAN08625	ENST00000442160
HUMAN08625	ENST00000324593
HUMAN08625	ENST00000398139
HUMAN08625	ENST00000540593
HUMAN08625	ENST00000555044
HUMAN08625	ENST00000615736
HUMAN08629	ENST00000286544
HUMAN08629	ENST00000651776
HUMAN08631	ENST00000334571
HUMAN08631	ENST00000394026
HUMAN08633	ENST00000334696
HUMAN08636	ENST00000394009
HUMAN08638	ENST00000553458
HUMAN08638	ENST00000350259
HUMAN08639	ENST00000555028
HUMAN08640	ENST00000261980
HUMAN08641	ENST00000356924
HUMAN08645	ENST00000256362
HUMAN08646	ENST00000331628
HUMAN08646	ENST00000554823
HUMAN08650	ENST00000557510
HUMAN08651	ENST00000556816
HUMAN08651	ENST00000554924
HUMAN08652	ENST00000261978
HUMAN08653	ENST00000356357
HUMAN08655	ENST00000341162
HUMAN08657	ENST00000325680
HUMAN08659	ENST00000556489
HUMAN08660	ENST00000334220
HUMAN08661	ENST00000354625
HUMAN08661	ENST00000555009
HUMAN08661	ENST00000555647
HUMAN08661	ENST00000557413
HUMAN08664	ENST00000405431
HUMAN08664	ENST00000555567
HUMAN08664	ENST00000553716
HUMAN08666	ENST00000266126
HUMAN08667	ENST00000355774
HUMAN08667	ENST00000380968
HUMAN08667	ENST00000556740
HUMAN08669	ENST00000555463
HUMAN08672	ENST00000524913
HUMAN08672	ENST00000439583
HUMAN08672	ENST00000525046
HUMAN08672	ENST00000526130
HUMAN08672	ENST00000554763
HUMAN08672	ENST00000673981
HUMAN08672	ENST00000674017
HUMAN08672	ENST00000674086
HUMAN08672	ENST00000674097
HUMAN08674	ENST00000238616
HUMAN08676	ENST00000303575
HUMAN08678	ENST00000303562
HUMAN08678	ENST00000535987
HUMAN08678	ENST00000555686
HUMAN08680	ENST00000267569
HUMAN08680	ENST00000419727
HUMAN08680	ENST00000435893
HUMAN08680	ENST00000437176
HUMAN08680	ENST00000651602
HUMAN08681	ENST00000286639
HUMAN08683	ENST00000238667
HUMAN08683	ENST00000539311
HUMAN08685	ENST00000557636
HUMAN08686	ENST00000256319
HUMAN08687	ENST00000238628
HUMAN08687	ENST00000314067
HUMAN08687	ENST00000556742
HUMAN08687	ENST00000542766
HUMAN08691	ENST00000238682
HUMAN08691	ENST00000556285
HUMAN08692	ENST00000261530
HUMAN08692	ENST00000312858
HUMAN08692	ENST00000556663
HUMAN08692	ENST00000557263
HUMAN08692	ENST00000621494
HUMAN08695	ENST00000380887
HUMAN08695	ENST00000505752
HUMAN08695	ENST00000509242
HUMAN08697	ENST00000167106
HUMAN08697	ENST00000554237
HUMAN08700	ENST00000251089
HUMAN08702	ENST00000393774
HUMAN08705	ENST00000238647
HUMAN08706	ENST00000361786
HUMAN08708	ENST00000298351
HUMAN08709	ENST00000319374
HUMAN08710	ENST00000298352
HUMAN08711	ENST00000261534
HUMAN08711	ENST00000556326
HUMAN08715	ENST00000553586
HUMAN08717	ENST00000216468
HUMAN08718	ENST00000216471
HUMAN08719	ENST00000380835
HUMAN08720	ENST00000623612
HUMAN08721	ENST00000556412
HUMAN08722	ENST00000216479
HUMAN08722	ENST00000535854
HUMAN08725	ENST00000216481
HUMAN08725	ENST00000342219
HUMAN08725	ENST00000493585
HUMAN08727	ENST00000216484
HUMAN08729	ENST00000216489
HUMAN08734	ENST00000556831
HUMAN08735	ENST00000555761
HUMAN08736	ENST00000355883
HUMAN08738	ENST00000238561
HUMAN08738	ENST00000341211
HUMAN08741	ENST00000634499
HUMAN08745	ENST00000555750
HUMAN08746	ENST00000281129
HUMAN08746	ENST00000216517
HUMAN08746	ENST00000555265
HUMAN08748	ENST00000541158
HUMAN08748	ENST00000298171
HUMAN08750	ENST00000553612
HUMAN08750	ENST00000434192
HUMAN08752	ENST00000555447
HUMAN08752	ENST00000614646
HUMAN08754	ENST00000336735
HUMAN08754	ENST00000555824
HUMAN08755	ENST00000330753
HUMAN08755	ENST00000554746
HUMAN08756	ENST00000261304
HUMAN08756	ENST00000393568
HUMAN08756	ENST00000393569
HUMAN08756	ENST00000544807
HUMAN08758	ENST00000267549
HUMAN08759	ENST00000312350
HUMAN08759	ENST00000319231
HUMAN08759	ENST00000340700
HUMAN08760	ENST00000393545
HUMAN08765	ENST00000328736
HUMAN08765	ENST00000556564
HUMAN08767	ENST00000251038
HUMAN08767	ENST00000302216
HUMAN08767	ENST00000318308
HUMAN08767	ENST00000336693
HUMAN08767	ENST00000393514
HUMAN08767	ENST00000406216
HUMAN08767	ENST00000555755
HUMAN08770	ENST00000554922
HUMAN08770	ENST00000380664
HUMAN08772	ENST00000614125
HUMAN08772	ENST00000338104
HUMAN08774	ENST00000345097
HUMAN08774	ENST00000261302
HUMAN08774	ENST00000555353
HUMAN08774	ENST00000557258
HUMAN08774	ENST00000615335
HUMAN08777	ENST00000316738
HUMAN08777	ENST00000538485
